,label,ytid,start,stop
553,Happy,JbunX11qkjs,30.0,40.0
554,Happy,Jse-XQrz7MA,30.0,40.0
555,Aggressive,JuhqNDRNxaw,20.0,30.0
556,Happy,Jyka9zOu7W4,0.0,10.0
557,Sad,KB-CQs1OtXI,7.0,17.0
558,Happy,KDXrbZNpugw,180.0,190.0
559,Happy,KEtet34gu4c,40.0,50.0
561,Sad,KeoPHijUtlE,0.0,10.0
562,Aggressive,KiHNFmpU5ZY,30.0,40.0
563,Sad,KzK6d6Qpu_o,10.0,20.0
564,Sad,L1wGG8KdOIw,30.0,40.0
565,Happy,Lj3XXQvlbRg,100.0,110.0
566,Happy,LqInaHKSdvo,30.0,40.0
567,Aggressive,LwmZy1Rniqc,0.0,10.0
568,Happy,M0aMpDlIphg,50.0,60.0
569,Aggressive,MB4gME-QUU8,20.0,30.0
570,Happy,MCBJv5vYI7A,40.0,50.0
572,Happy,MIQ_xveol1w,10.0,20.0
573,Sad,MKVYJQLwud0,80.0,90.0
574,Happy,MLlmN2PFRxM,30.0,40.0
575,Happy,MXBgLjHZcHA,10.0,20.0
576,Happy,MniYxgrxMu8,0.0,10.0
577,Happy,MwF7p3PL1q4,200.0,210.0
578,Aggressive,N-UeTwaW5UQ,30.0,40.0
579,Happy,N1heffHp3vU,16.0,26.0
580,Aggressive,rRJkzdIiFRo,0.0,10.0
581,Aggressive,rRJkzdIiFRo,10.0,20.0
582,Aggressive,rRJkzdIiFRo,20.0,30.0
583,Aggressive,rRJkzdIiFRo,30.0,40.0
584,Aggressive,rRJkzdIiFRo,40.0,50.0
585,Aggressive,rRJkzdIiFRo,50.0,60.0
586,Aggressive,rRJkzdIiFRo,60.0,70.0
587,Aggressive,rRJkzdIiFRo,70.0,80.0
588,Aggressive,rRJkzdIiFRo,80.0,90.0
589,Aggressive,rRJkzdIiFRo,90.0,100.0
590,Aggressive,rRJkzdIiFRo,100.0,110.0
591,Aggressive,rRJkzdIiFRo,110.0,120.0
592,Aggressive,rRJkzdIiFRo,120.0,130.0
593,Aggressive,rRJkzdIiFRo,130.0,140.0
594,Aggressive,rRJkzdIiFRo,140.0,150.0
595,Aggressive,rRJkzdIiFRo,150.0,160.0
596,Aggressive,rRJkzdIiFRo,160.0,170.0
597,Aggressive,rRJkzdIiFRo,170.0,178.0
598,Sad,mTHBk8Lh2lU,7.0,17.0
599,Sad,mTHBk8Lh2lU,24.0,34.0
600,Sad,mTHBk8Lh2lU,33.0,43.0
601,Sad,mTHBk8Lh2lU,46.0,56.0
602,Sad,mTHBk8Lh2lU,56.0,66.0
603,Sad,mTHBk8Lh2lU,74.0,84.0
604,Sad,mTHBk8Lh2lU,89.0,99.0
605,Sad,mTHBk8Lh2lU,96.0,106.0
606,Sad,Z0GMo-movdE,0.0,6.0
607,Sad,Z0GMo-movdE,6.0,16.0
608,Sad,Z0GMo-movdE,20.0,30.0
609,Sad,Z0GMo-movdE,36.0,44.0
610,Sad,Z0GMo-movdE,55.0,63.0
611,Sad,Z0GMo-movdE,70.0,80.0
612,Sad,Z0GMo-movdE,104.0,110.0
613,Sad,Z0GMo-movdE,118.0,128.0
614,Sad,obYyYK9azHI,3.0,13.0
615,Sad,obYyYK9azHI,13.0,23.0
616,Sad,obYyYK9azHI,23.0,33.0
617,Sad,j1TpFBd3M8o,6.0,16.0
618,Sad,j1TpFBd3M8o,16.0,26.0
619,Sad,j1TpFBd3M8o,30.0,40.0
620,Sad,j1TpFBd3M8o,42.0,52.0
621,Sad,j1TpFBd3M8o,64.0,74.0
622,Sad,j1TpFBd3M8o,80.0,87.0
623,Sad,j1TpFBd3M8o,95.0,105.0
624,Sad,j1TpFBd3M8o,184.0,194.0
